ZCTA5CE10,ct_06:00,ct_06:30,ct_07:00,ct_07:30,ct_08:00,ct_08:30,ct_09:00,ct_09:30,zhvi_sfh,zhvi_mfh,zhvi_1bd,zhvi_2bd,zhvi_3bd,zhvi_4bd,zhvi_5bd,zri_all,venue_count
20037,10.683599999999998,10.79,10.9102,11.1898,11.7932,12.1634,12.330000000000002,12.0202,955656.0,599087.0,482214.0,964292.0,1645447.0,1606651.0,1894774.0,2587.0,42
20005,13.1732,13.429999999999998,12.7434,13.15,12.859800000000002,13.1934,13.9064,14.2668,751913.0,526376.0,461882.0,716644.0,1025382.0,1488418.0,2019593.0,2474.0,100
20007,16.1502,16.5034,16.7334,17.4998,18.6532,20.1098,19.5234,19.4366,1423071.0,464992.0,360720.0,861503.0,1222673.0,1620026.0,2294348.0,2764.0,7
20008,20.7366,21.2434,21.6534,22.6736,24.0366,26.3034,30.4166,29.8132,1684379.0,466302.0,392555.0,644522.0,1321486.0,1670543.0,2268851.0,2391.0,39
20009,20.2598,21.543199999999995,22.9866,24.8134,26.617,27.5302,27.6034,27.9668,1048466.0,546440.0,450344.0,690058.0,1027101.0,1336731.0,1591308.0,2618.0,54
20010,21.1668,22.9864,24.7332,26.9732,29.7234,30.510200000000005,30.8534,31.1436,817279.0,522475.0,390473.0,613290.0,774301.0,920341.0,1119744.0,2452.0,37
20011,21.1132,23.9432,25.32,28.0536,28.7232,29.9668,29.2502,28.6668,703998.0,417017.0,311341.0,518873.0,672398.0,764943.0,960580.0,2039.0,15
20012,28.343200000000003,31.7834,33.529999999999994,37.6336,39.2432,40.1134,37.7398,37.7,786293.0,438078.0,329781.0,523187.0,702481.0,890319.0,980954.0,2040.0,4
20015,28.7966,31.9236,33.3866,36.47,38.75019999999999,38.49,37.24679999999999,37.4234,1166717.0,363508.0,313628.0,901177.0,1066909.0,1201343.0,1502919.0,2237.0,2
20020,12.9668,14.7602,15.98,19.9432,20.5236,21.9898,19.423,16.7468,410120.0,161411.0,118419.0,311296.0,404139.0,491895.0,529807.0,1719.0,5
20024,6.803400000000001,6.9866,6.92,7.2734,7.6834000000000024,7.819800000000001,8.0866,7.783199999999999,725311.0,448488.0,398143.0,648492.0,765953.0,1016410.0,1093813.0,2425.0,32
20001,9.1868,10.080000000000002,10.463399999999998,12.01,11.9766,12.4466,11.64,11.206599999999998,859004.0,571394.0,496113.0,690211.0,843278.0,1000819.0,1132617.0,2610.0,31
20032,12.246399999999998,14.04,14.9034,18.876600000000003,19.3468,20.76,18.6498,15.573399999999998,360497.0,157132.0,181843.0,286805.0,361422.0,381501.0,411846.0,1755.0,5
20002,16.1966,18.3,19.82,22.7666,22.7468,24.56,24.6234,22.3664,752335.0,497733.0,429444.0,616577.0,751441.0,853421.0,1028867.0,2325.0,14
20003,7.7799999999999985,9.0966,10.2532,12.856599999999995,12.3468,13.006599999999995,11.3602,9.886599999999998,890718.0,551576.0,472876.0,734332.0,900812.0,1117143.0,1645064.0,2420.0,61
